,Date,Class
0,2016-11-30,1
1,2016-11-30,1
2,2016-11-29,0
3,2016-11-29,0
4,2016-11-28,0
5,2016-11-28,0
6,2016-11-25,0
7,2016-11-24,1
8,2016-11-24,0
9,2016-11-23,1
10,2016-11-23,0
11,2016-11-23,1
12,2016-11-23,-1
13,2016-11-23,0
14,2016-11-22,0
15,2016-11-22,0
16,2016-11-22,0
17,2016-11-21,0
18,2016-11-21,0
19,2016-11-21,0
20,2016-11-21,0
21,2016-11-21,0
22,2016-11-21,0
23,2016-11-18,0
24,2016-11-18,0
25,2016-11-18,1
26,2016-11-18,0
27,2016-11-18,-1
28,2016-11-18,0
29,2016-11-18,0
30,2016-11-18,0
31,2016-11-18,1
32,2016-11-18,0
33,2016-11-17,0
34,2016-11-17,0
35,2016-11-17,1
36,2016-11-17,1
37,2016-11-17,1
38,2016-11-17,1
39,2016-11-17,1
40,2016-11-17,0
41,2016-11-17,0
42,2016-11-17,1
43,2016-11-17,0
44,2016-11-17,0
45,2016-11-17,1
46,2016-11-16,0
47,2016-11-16,0
48,2016-11-16,0
49,2016-11-16,0
50,2016-11-16,0
51,2016-11-16,0
52,2016-11-16,0
53,2016-11-16,0
54,2016-11-16,0
55,2016-11-16,0
56,2016-11-16,0
57,2016-11-16,0
58,2016-11-16,0
59,2016-11-16,0
60,2016-11-16,1
61,2016-11-16,0
62,2016-11-16,0
63,2016-11-16,0
64,2016-11-15,1
65,2016-11-15,0
66,2016-11-15,0
67,2016-11-15,0
68,2016-11-15,1
69,2016-11-15,0
70,2016-11-15,0
71,2016-11-15,0
72,2016-11-15,0
73,2016-11-15,0
74,2016-11-15,0
75,2016-11-15,0
76,2016-11-14,-1
77,2016-11-14,-1
78,2016-11-14,0
79,2016-11-14,0
80,2016-11-14,0
81,2016-11-14,1
82,2016-11-14,0
83,2016-11-14,0
84,2016-11-14,0
85,2016-11-14,0
86,2016-11-14,0
87,2016-11-14,1
88,2016-11-14,0
89,2016-11-14,0
90,2016-11-14,0
91,2016-11-11,0
92,2016-11-11,0
93,2016-11-11,0
94,2016-11-11,1
95,2016-11-10,0
96,2016-11-10,0
